plant_name,category,difficulty_level,growth_days,sunlight_min,sunlight_max,temp_min,temp_max,humidity_min,humidity_max,area_min,soils,seasons,locations,care_instructions
Swiss Chard,Vegetable,Easy,62,4,7,15,28,45,75,6,loam;potting;clay,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Cut-and-come-again harvest.
Swiss Chard Early,Vegetable,Easy,64,3,8,16,29,45,80,4,loam;potting;clay,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Cut-and-come-again harvest.
Swiss Chard Prolific,Vegetable,Easy,68,5,8,13,28,45,75,6,loam;potting;clay,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Cut-and-come-again harvest.
Swiss Chard Heirloom,Vegetable,Easy,67,4,6,13,30,50,75,8,loam;potting;clay,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Cut-and-come-again harvest.
Lettuce,Vegetable,Easy,56,3,6,15,26,50,80,4,loam;potting;clay,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Light sun; avoid heat.
Lettuce Local,Vegetable,Easy,34,3,7,16,26,55,85,6,loam;potting;clay,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Light sun; avoid heat.
Lettuce Prolific,Vegetable,Easy,45,3,7,15,26,55,85,4,loam;potting;clay,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Light sun; avoid heat.
Lettuce Late,Vegetable,Easy,45,2,5,13,28,50,80,6,loam;potting;clay,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Light sun; avoid heat.
Lettuce Late,Vegetable,Easy,66,3,7,16,27,55,80,4,loam;potting;clay,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Light sun; avoid heat.
Lettuce Plus,Vegetable,Easy,56,3,7,13,26,50,85,4,loam;potting;clay,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Light sun; avoid heat.
Coriander,Herb,Easy,44,3,6,15,28,40,70,4,loam;potting;clay,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Partial shade; light watering.
Coriander Compact,Herb,Easy,42,4,6,16,29,40,75,4,loam;potting;clay,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Partial shade; light watering.
Coriander Late,Herb,Easy,31,3,6,13,30,40,75,6,loam;potting;clay,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Partial shade; light watering.
Coriander Compact,Herb,Easy,53,3,7,15,29,40,70,6,loam;potting;clay,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Partial shade; light watering.
Coriander Mini,Herb,Easy,34,4,6,13,29,40,75,3,loam;potting;clay,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Partial shade; light watering.
Mint,Herb,Easy,55,2,5,18,30,55,85,4,loam;potting;clay,winter;summer,dhaka;chittagong;khulna;rajshahi;sylhet,Moist soil; container recommended.
Mint Local,Herb,Easy,50,3,6,19,32,55,90,3,loam;potting;clay,winter;summer,dhaka;chittagong;khulna;rajshahi;sylhet,Moist soil; container recommended.
Mint Compact,Herb,Easy,40,2,5,16,32,60,90,6,loam;potting;clay,winter;summer,dhaka;chittagong;khulna;rajshahi;sylhet,Moist soil; container recommended.
Mint Plus,Herb,Easy,42,3,4,19,30,60,90,3,loam;potting;clay,winter;summer,dhaka;chittagong;khulna;rajshahi;sylhet,Moist soil; container recommended.
Mint Giant,Herb,Easy,41,2,6,19,30,55,85,6,loam;potting;clay,winter;summer,dhaka;chittagong;khulna;rajshahi;sylhet,Moist soil; container recommended.
Mint Late,Herb,Easy,50,2,4,19,31,55,90,3,loam;potting;clay,winter;summer,dhaka;chittagong;khulna;rajshahi;sylhet,Moist soil; container recommended.
Basil,Herb,Easy,48,4,8,20,34,45,75,3,loam;potting;clay,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Full sun; avoid waterlogging.
Basil Prime,Herb,Easy,44,3,7,18,36,45,75,3,loam;potting;clay,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Full sun; avoid waterlogging.
Basil Patio,Herb,Easy,49,5,9,21,34,45,80,3,loam;potting;clay,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Full sun; avoid waterlogging.
Basil Heirloom,Herb,Easy,39,3,8,20,34,45,75,3,loam;potting;clay,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Full sun; avoid waterlogging.
Basil Plus,Herb,Easy,59,4,8,18,36,50,80,5,loam;potting;clay,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Full sun; avoid waterlogging.
Basil Nano,Herb,Easy,59,5,7,21,34,45,80,3,loam;potting;clay,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Full sun; avoid waterlogging.
Basil Gold,Herb,Easy,56,4,9,20,35,45,75,3,loam;potting;clay,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Full sun; avoid waterlogging.
Thai Basil,Herb,Medium,63,4,8,20,34,45,75,3,loam;potting;clay,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Warmth & sun; pinch flowers.
Thai Basil F1,Herb,Medium,75,5,9,18,36,45,75,3,loam;potting;clay,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Warmth & sun; pinch flowers.
Thai Basil Select,Herb,Medium,66,3,7,18,34,45,80,3,loam;potting;clay,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Warmth & sun; pinch flowers.
Thai Basil Compact,Herb,Medium,81,4,8,20,36,50,75,5,loam;potting;clay,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Warmth & sun; pinch flowers.
Thai Basil Gold,Herb,Medium,56,4,8,21,35,45,75,3,loam;potting;clay,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Warmth & sun; pinch flowers.
Thai Basil Nano,Herb,Medium,47,4,8,18,34,50,80,3,loam;potting;clay,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Warmth & sun; pinch flowers.
Thai Basil Giant,Herb,Medium,80,5,9,21,34,45,75,5,loam;potting;clay,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Warmth & sun; pinch flowers.
Holy Basil,Herb,Easy,54,4,8,20,34,45,75,3,loam;potting;clay,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Full sun; light feeding.
Holy Basil Nano,Herb,Easy,54,4,8,18,36,45,80,3,loam;potting;clay,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Full sun; light feeding.
Holy Basil Patio,Herb,Easy,55,5,8,18,34,50,80,5,loam;potting;clay,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Full sun; light feeding.
Holy Basil Plus,Herb,Easy,40,4,9,18,35,45,75,3,loam;potting;clay,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Full sun; light feeding.
Dill,Herb,Easy,44,4,7,15,26,45,75,3,loam;potting;clay,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Airy soil; gentle watering.
Dill Nano,Herb,Easy,31,5,8,13,27,45,75,5,loam;potting;clay,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Airy soil; gentle watering.
Dill Compact,Herb,Easy,57,4,6,15,28,45,75,3,loam;potting;clay,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Airy soil; gentle watering.
Dill Prolific,Herb,Easy,43,4,7,13,27,50,80,3,loam;potting;clay,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Airy soil; gentle watering.
Dill Gold,Herb,Easy,52,3,8,15,26,45,80,3,loam;potting;clay,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Airy soil; gentle watering.
Dill F1,Herb,Easy,55,5,8,13,27,50,80,5,loam;potting;clay,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Airy soil; gentle watering.
Dill Giant,Herb,Easy,55,3,7,16,28,45,75,3,loam;potting;clay,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Airy soil; gentle watering.
Parsley,Herb,Medium,56,3,6,12,24,45,75,4,loam;potting;clay,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Partial shade; steady moisture.
Parsley Giant,Herb,Medium,67,2,6,13,25,50,75,6,loam;potting;clay,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Partial shade; steady moisture.
Parsley Local,Herb,Medium,75,2,6,10,26,45,80,6,loam;potting;clay,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Partial shade; steady moisture.
Parsley Heirloom,Herb,Medium,77,2,6,10,24,45,80,6,loam;potting;clay,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Partial shade; steady moisture.
Chives,Herb,Easy,62,3,6,12,24,45,75,3,loam;potting;clay,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Cut leaves regularly.
Chives Nano,Herb,Easy,72,3,6,10,24,50,75,3,loam;potting;clay,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Cut leaves regularly.
Chives Prolific,Herb,Easy,72,2,7,10,24,45,75,3,loam;potting;clay,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Cut leaves regularly.
Chives Giant,Herb,Easy,61,4,7,10,26,50,80,3,loam;potting;clay,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Cut leaves regularly.
Oregano,Herb,Easy,69,4,8,18,30,45,75,3,loam;potting;clay,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Well-drained; light feed.
Oregano Gold,Herb,Easy,72,4,8,18,30,45,75,3,loam;potting;clay,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Well-drained; light feed.
Oregano Plus,Herb,Easy,55,4,8,18,32,45,75,5,loam;potting;clay,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Well-drained; light feed.
Oregano Hybrid,Herb,Easy,61,4,9,18,32,45,75,3,loam;potting;clay,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Well-drained; light feed.
Oregano Select,Herb,Easy,47,4,7,19,30,45,80,3,loam;potting;clay,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Well-drained; light feed.
Rosemary,Herb,Medium,92,5,9,15,28,40,70,5,loam;potting;clay,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Dryer soil; full sun preferred.
Rosemary Prime,Herb,Medium,82,5,8,16,28,45,70,7,loam;potting;clay,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Dryer soil; full sun preferred.
Rosemary Prolific,Herb,Medium,93,4,9,13,28,40,70,7,loam;potting;clay,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Dryer soil; full sun preferred.
Rosemary Hybrid,Herb,Medium,88,5,8,16,30,40,70,5,loam;potting;clay,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Dryer soil; full sun preferred.
Rosemary Prime,Herb,Medium,105,6,8,15,29,40,75,5,loam;potting;clay,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Dryer soil; full sun preferred.
Rosemary Plus,Herb,Medium,104,5,9,15,30,40,75,7,loam;potting;clay,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Dryer soil; full sun preferred.
Rosemary Compact,Herb,Medium,89,5,10,16,30,45,75,5,loam;potting;clay,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Dryer soil; full sun preferred.
Thyme,Herb,Medium,62,5,9,15,28,40,70,3,loam;potting;clay,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Avoid overwatering; full sun.
Thyme Mini,Herb,Medium,85,5,8,15,28,45,70,3,loam;potting;clay,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Avoid overwatering; full sun.
Thyme Hybrid,Herb,Medium,71,6,10,16,28,45,70,3,loam;potting;clay,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Avoid overwatering; full sun.
Thyme Patio,Herb,Medium,78,4,9,16,29,40,70,3,loam;potting;clay,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Avoid overwatering; full sun.
Thyme Gold,Herb,Medium,95,5,8,13,28,45,75,5,loam;potting;clay,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Avoid overwatering; full sun.
Thyme Late,Herb,Medium,82,5,8,16,29,45,75,3,loam;potting;clay,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Avoid overwatering; full sun.
Marigold,Flower,Easy,65,5,9,18,34,40,75,6,loam;potting;sandy,winter;summer,dhaka;chittagong;khulna;rajshahi;sylhet,Deadhead spent blooms; potash feed.
Marigold Heirloom,Flower,Easy,62,5,8,19,34,40,75,8,loam;potting;sandy,winter;summer,dhaka;chittagong;khulna;rajshahi;sylhet,Deadhead spent blooms; potash feed.
Marigold Early,Flower,Easy,54,5,9,16,34,45,80,6,loam;potting;sandy,winter;summer,dhaka;chittagong;khulna;rajshahi;sylhet,Deadhead spent blooms; potash feed.
Marigold Heirloom,Flower,Easy,65,5,10,18,36,45,80,8,loam;potting;sandy,winter;summer,dhaka;chittagong;khulna;rajshahi;sylhet,Deadhead spent blooms; potash feed.
Dahlia,Flower,Medium,94,5,8,15,28,45,70,10,loam;potting;sandy,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Cool weather; avoid waterlogging.
Dahlia Nano,Flower,Medium,105,6,8,16,28,50,70,10,loam;potting;sandy,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Cool weather; avoid waterlogging.
Dahlia F1,Flower,Medium,91,4,8,13,28,50,75,10,loam;potting;sandy,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Cool weather; avoid waterlogging.
Dahlia Local,Flower,Medium,91,5,8,15,29,50,75,12,loam;potting;sandy,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Cool weather; avoid waterlogging.
Dahlia Select,Flower,Medium,85,6,8,13,28,45,75,10,loam;potting;sandy,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Cool weather; avoid waterlogging.
Sunflower (Dwarf),Flower,Easy,80,6,10,20,34,45,75,10,loam;potting;sandy,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Full sun; support if windy.
Sunflower (Dwarf) Prime,Flower,Easy,80,7,9,18,36,50,75,8,loam;potting;sandy,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Full sun; support if windy.
Sunflower (Dwarf) Local,Flower,Easy,87,5,9,20,35,50,80,12,loam;potting;sandy,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Full sun; support if windy.
Sunflower (Dwarf) Plus,Flower,Easy,73,6,10,18,35,50,75,8,loam;potting;sandy,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Full sun; support if windy.
Sunflower (Dwarf) Hybrid,Flower,Easy,72,5,10,18,34,45,80,8,loam;potting;sandy,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Full sun; support if windy.
Petunia,Flower,Easy,57,5,9,18,30,45,75,6,loam;potting;sandy,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Regular feeding; remove dead blooms.
Petunia Plus,Flower,Easy,73,4,9,16,32,45,80,8,loam;potting;sandy,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Regular feeding; remove dead blooms.
Petunia Prolific,Flower,Easy,75,4,10,18,32,45,75,6,loam;potting;sandy,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Regular feeding; remove dead blooms.
Petunia Compact,Flower,Easy,70,4,9,18,32,45,80,4,loam;potting;sandy,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Regular feeding; remove dead blooms.
Zinnia,Flower,Easy,51,6,10,20,34,45,75,6,loam;potting;sandy,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Heat tolerant; full sun.
Zinnia Hybrid,Flower,Easy,49,6,9,21,34,50,80,4,loam;potting;sandy,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Heat tolerant; full sun.
Zinnia Giant,Flower,Easy,48,5,9,20,34,50,75,4,loam;potting;sandy,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Heat tolerant; full sun.
Zinnia Heirloom,Flower,Easy,72,6,11,21,36,45,75,4,loam;potting;sandy,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Heat tolerant; full sun.
Chrysanthemum,Flower,Medium,76,4,8,15,26,45,75,8,loam;potting;sandy,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Pinch tips; avoid soggy soil.
Chrysanthemum Mini,Flower,Medium,79,4,8,13,26,45,80,10,loam;potting;sandy,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Pinch tips; avoid soggy soil.
Chrysanthemum Prolific,Flower,Medium,93,4,8,15,28,45,75,10,loam;potting;sandy,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Pinch tips; avoid soggy soil.
Chrysanthemum Compact,Flower,Medium,92,4,9,15,26,50,75,10,loam;potting;sandy,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Pinch tips; avoid soggy soil.
Chrysanthemum Plus,Flower,Medium,77,5,7,13,26,50,80,10,loam;potting;sandy,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Pinch tips; avoid soggy soil.
Chrysanthemum Select,Flower,Medium,98,3,7,15,27,45,75,8,loam;potting;sandy,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Pinch tips; avoid soggy soil.
Rose (Mini),Flower,Medium,87,5,9,15,32,45,75,10,loam;potting;sandy,winter;summer,dhaka;chittagong;khulna;rajshahi;sylhet,Sun 5–6h; prune spent blooms.
Rose (Mini) Late,Flower,Medium,101,6,10,16,33,50,75,12,loam;potting;sandy,winter;summer,dhaka;chittagong;khulna;rajshahi;sylhet,Sun 5–6h; prune spent blooms.
Rose (Mini) Mini,Flower,Medium,103,4,8,16,32,45,80,8,loam;potting;sandy,winter;summer,dhaka;chittagong;khulna;rajshahi;sylhet,Sun 5–6h; prune spent blooms.
Rose (Mini) Nano,Flower,Medium,95,5,9,13,33,45,75,12,loam;potting;sandy,winter;summer,dhaka;chittagong;khulna;rajshahi;sylhet,Sun 5–6h; prune spent blooms.
Rose (Mini) Patio,Flower,Medium,106,4,10,13,33,50,75,12,loam;potting;sandy,winter;summer,dhaka;chittagong;khulna;rajshahi;sylhet,Sun 5–6h; prune spent blooms.
Hibiscus (Dwarf),Flower,Medium,93,5,9,20,34,55,85,10,loam;potting;sandy,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Bright sun; steady water.
Hibiscus (Dwarf) Giant,Flower,Medium,88,6,8,21,34,55,85,12,loam;potting;sandy,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Bright sun; steady water.
Hibiscus (Dwarf) Mini,Flower,Medium,109,5,8,21,34,60,85,12,loam;potting;sandy,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Bright sun; steady water.
Hibiscus (Dwarf) Late,Flower,Medium,101,5,10,18,35,55,90,8,loam;potting;sandy,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Bright sun; steady water.
Hibiscus (Dwarf) Heirloom,Flower,Medium,82,6,8,20,34,60,90,10,loam;potting;sandy,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Bright sun; steady water.
Hibiscus (Dwarf) Heirloom,Flower,Medium,90,5,9,20,34,60,90,10,loam;potting;sandy,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Bright sun; steady water.
Hibiscus (Dwarf) Late,Flower,Medium,107,5,9,20,35,55,90,12,loam;potting;sandy,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Bright sun; steady water.
Jasmine,Flower,Medium,85,5,9,20,34,55,85,10,loam;potting;sandy,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Climbing support; fragrant blooms.
Jasmine Compact,Flower,Medium,72,4,10,21,36,55,90,12,loam;potting;sandy,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Climbing support; fragrant blooms.
Jasmine Nano,Flower,Medium,102,5,8,20,34,55,85,8,loam;potting;sandy,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Climbing support; fragrant blooms.
Jasmine F1,Flower,Medium,70,5,9,21,36,60,85,10,loam;potting;sandy,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Climbing support; fragrant blooms.
Bougainvillea (Dwarf),Flower,Medium,106,6,10,20,34,45,75,12,loam;potting;sandy,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Dry side; full sun.
Bougainvillea (Dwarf) Early,Flower,Medium,100,6,9,18,34,45,80,12,loam;potting;sandy,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Dry side; full sun.
Bougainvillea (Dwarf) Nano,Flower,Medium,95,7,10,18,35,50,75,12,loam;potting;sandy,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Dry side; full sun.
Bougainvillea (Dwarf) Prime,Flower,Medium,90,6,10,20,34,45,80,12,loam;potting;sandy,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Dry side; full sun.
Bougainvillea (Dwarf) Plus,Flower,Medium,112,6,9,20,36,50,75,12,loam;potting;sandy,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Dry side; full sun.
Bougainvillea (Dwarf) Select,Flower,Medium,117,6,11,20,35,50,75,14,loam;potting;sandy,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Dry side; full sun.
Bougainvillea (Dwarf) Hybrid,Flower,Medium,96,5,11,21,36,50,75,12,loam;potting;sandy,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Dry side; full sun.
Strawberry (Pot),Fruit,Easy,81,4,8,15,28,45,75,6,loam;potting;sandy;clay,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Cool season; keep crowns above soil.
Strawberry (Pot) Mini,Fruit,Easy,80,4,8,13,28,50,75,6,loam;potting;sandy;clay,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Cool season; keep crowns above soil.
Strawberry (Pot) Prolific,Fruit,Easy,94,3,8,16,30,50,75,6,loam;potting;sandy;clay,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Cool season; keep crowns above soil.
Strawberry (Pot) F1,Fruit,Easy,61,3,8,15,28,45,75,4,loam;potting;sandy;clay,winter,dhaka;chittagong;khulna;rajshahi;sylhet,Cool season; keep crowns above soil.
Papaya (Dwarf),Fruit,Medium,121,6,10,22,35,55,85,20,loam;potting;sandy;clay,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Full sun; good drainage.
Papaya (Dwarf) F1,Fruit,Medium,138,6,11,23,36,55,85,18,loam;potting;sandy;clay,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Full sun; good drainage.
Papaya (Dwarf) Nano,Fruit,Medium,136,6,11,20,36,55,85,20,loam;potting;sandy;clay,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Full sun; good drainage.
Papaya (Dwarf) Prime,Fruit,Medium,136,5,9,23,35,55,85,20,loam;potting;sandy;clay,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Full sun; good drainage.
Papaya (Dwarf) Hybrid,Fruit,Medium,129,5,10,20,37,55,90,20,loam;potting;sandy;clay,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Full sun; good drainage.
Papaya (Dwarf) F1,Fruit,Medium,131,5,10,20,35,60,85,20,loam;potting;sandy;clay,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Full sun; good drainage.
Papaya (Dwarf) Late,Fruit,Medium,119,6,9,20,37,55,90,22,loam;potting;sandy;clay,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Full sun; good drainage.
Guava (Dwarf),Fruit,Medium,132,6,10,20,34,55,85,20,loam;potting;sandy;clay,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Sun & airflow; prune yearly.
Guava (Dwarf) Patio,Fruit,Medium,145,7,11,20,36,55,85,22,loam;potting;sandy;clay,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Sun & airflow; prune yearly.
Guava (Dwarf) Giant,Fruit,Medium,143,6,9,20,35,60,85,18,loam;potting;sandy;clay,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Sun & airflow; prune yearly.
Guava (Dwarf) F1,Fruit,Medium,127,6,9,20,34,60,90,20,loam;potting;sandy;clay,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Sun & airflow; prune yearly.
Guava (Dwarf) F1,Fruit,Medium,116,6,9,21,34,60,85,22,loam;potting;sandy;clay,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Sun & airflow; prune yearly.
Lemon (Pot),Fruit,Medium,102,6,10,18,32,45,75,15,loam;potting;sandy;clay,winter;summer,dhaka;chittagong;khulna;rajshahi;sylhet,Sun 6–8h; feed citrus fertilizer.
Lemon (Pot) Early,Fruit,Medium,116,7,10,19,33,50,80,15,loam;potting;sandy;clay,winter;summer,dhaka;chittagong;khulna;rajshahi;sylhet,Sun 6–8h; feed citrus fertilizer.
Lemon (Pot) Select,Fruit,Medium,106,6,11,18,34,45,75,15,loam;potting;sandy;clay,winter;summer,dhaka;chittagong;khulna;rajshahi;sylhet,Sun 6–8h; feed citrus fertilizer.
Lemon (Pot) Select,Fruit,Medium,114,7,10,18,33,45,75,15,loam;potting;sandy;clay,winter;summer,dhaka;chittagong;khulna;rajshahi;sylhet,Sun 6–8h; feed citrus fertilizer.
Lime (Pot),Fruit,Medium,116,6,10,18,32,45,75,15,loam;potting;sandy;clay,winter;summer,dhaka;chittagong;khulna;rajshahi;sylhet,Consistent water; good drainage.
Lime (Pot) Select,Fruit,Medium,115,6,11,18,34,50,80,15,loam;potting;sandy;clay,winter;summer,dhaka;chittagong;khulna;rajshahi;sylhet,Consistent water; good drainage.
Lime (Pot) Select,Fruit,Medium,104,6,9,16,32,50,80,17,loam;potting;sandy;clay,winter;summer,dhaka;chittagong;khulna;rajshahi;sylhet,Consistent water; good drainage.
Lime (Pot) Compact,Fruit,Medium,129,5,9,19,33,50,75,17,loam;potting;sandy;clay,winter;summer,dhaka;chittagong;khulna;rajshahi;sylhet,Consistent water; good drainage.
Lime (Pot) Hybrid,Fruit,Medium,130,7,11,19,34,50,80,13,loam;potting;sandy;clay,winter;summer,dhaka;chittagong;khulna;rajshahi;sylhet,Consistent water; good drainage.
Fig (Dwarf),Fruit,Medium,129,6,10,18,32,45,75,20,loam;potting;sandy;clay,winter;summer,dhaka;chittagong;khulna;rajshahi;sylhet,Large pot; prune in winter.
Fig (Dwarf) Prolific,Fruit,Medium,128,6,10,18,33,45,75,22,loam;potting;sandy;clay,winter;summer,dhaka;chittagong;khulna;rajshahi;sylhet,Large pot; prune in winter.
Fig (Dwarf) Early,Fruit,Medium,124,7,9,19,33,50,80,22,loam;potting;sandy;clay,winter;summer,dhaka;chittagong;khulna;rajshahi;sylhet,Large pot; prune in winter.
Fig (Dwarf) Patio,Fruit,Medium,132,5,9,18,33,50,80,18,loam;potting;sandy;clay,winter;summer,dhaka;chittagong;khulna;rajshahi;sylhet,Large pot; prune in winter.
Fig (Dwarf) F1,Fruit,Medium,117,6,9,16,33,50,75,18,loam;potting;sandy;clay,winter;summer,dhaka;chittagong;khulna;rajshahi;sylhet,Large pot; prune in winter.
Pomegranate (Dwarf),Fruit,Medium,121,6,10,20,34,45,75,18,loam;potting;sandy;clay,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Hot sun boosts fruiting.
Pomegranate (Dwarf) Patio,Fruit,Medium,128,7,11,20,34,45,80,16,loam;potting;sandy;clay,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Hot sun boosts fruiting.
Pomegranate (Dwarf) Patio,Fruit,Medium,132,7,10,18,34,45,80,16,loam;potting;sandy;clay,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Hot sun boosts fruiting.
